canonical_cell_id,condition,family,task_id,seed,baseline_outcome,primary_eligible,candidate_count,eligibility_rejection_reason,classification
qwen3_5_4b__ce111_q03_prime_factor_selection__ab1__seed_2026071301,ab1,integer,ce111_q03_prime_factor_selection,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q03_prime_factor_selection__ab2g__seed_2026071301,ab2g,integer,ce111_q03_prime_factor_selection,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q03_prime_factor_selection__ab2d__seed_2026071301,ab2d,integer,ce111_q03_prime_factor_selection,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q01_negative_integer_power__ab2d__seed_2026071301,ab2d,integer,ce112_q01_negative_integer_power,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q09_divisor_multiple_intersection__ab1__seed_2026071301,ab1,integer,ce112_q09_divisor_multiple_intersection,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q09_divisor_multiple_intersection__ab2g__seed_2026071301,ab2g,integer,ce112_q09_divisor_multiple_intersection,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce112_q09_divisor_multiple_intersection__ab2d__seed_2026071301,ab2d,integer,ce112_q09_divisor_multiple_intersection,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab1__seed_2026071301,ab1,integer,ce111_nonchoice_q01_part1_exponential_growth,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2g__seed_2026071301,ab2g,integer,ce111_nonchoice_q01_part1_exponential_growth,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_nonchoice_q01_part1_exponential_growth__ab2d__seed_2026071301,ab2d,integer,ce111_nonchoice_q01_part1_exponential_growth,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q02_polynomial_division_remainder__ab1__seed_2026071301,ab1,polynomial,ce111_q02_polynomial_division_remainder,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q02_polynomial_division_remainder__ab2g__seed_2026071301,ab2g,polynomial,ce111_q02_polynomial_division_remainder,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q02_polynomial_division_remainder__ab2d__seed_2026071301,ab2d,polynomial,ce111_q02_polynomial_division_remainder,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q02_polynomial_division_remainder__ab2d_spec_v2__seed_2026071301,ab2d_spec_v2,polynomial,ce111_q02_polynomial_division_remainder,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q08_polynomial_factor_parameter_recovery__ab1__seed_2026071301,ab1,polynomial,ce111_q08_polynomial_factor_parameter_recovery,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q08_polynomial_factor_parameter_recovery__ab2g__seed_2026071301,ab2g,polynomial,ce111_q08_polynomial_factor_parameter_recovery,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
qwen3_5_4b__ce111_q08_polynomial_factor_parameter_recovery__ab2d__seed_2026071301,ab2d,polynomial,ce111_q08_polynomial_factor_parameter_recovery,2026071301,FAILED,False,0,No frozen allowlist rule triggered.,NO_RULE_CANDIDATE
