cell_id,task_id,domain_ops,condition,evaluator_status,failure_category,prompt_hash,api_attempts,wall_clock_seconds,total_token_count,prompt_token_count,candidates_token_count,latex_g6_status,first_attempt_evaluator_outcome,pipeline_correction_applied,healer_enabled,healer_attempted,validity,validity_note
gemini_3_5_flash__ce111_nonchoice_q01_part1_exponential_growth__ab1__seed_2026071301,ce111_nonchoice_q01_part1_exponential_growth,IntegerOps,ab1,PASSED,none,105840296a8d546e9ca86a9aa27cf92df5da24004f78624f5fd96e031b114d62,1,8.20300000000043,2140,178,214,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce111_nonchoice_q01_part1_exponential_growth__ab2d__seed_2026071301,ce111_nonchoice_q01_part1_exponential_growth,IntegerOps,ab2d,PASSED,none,cd040ed06bf143fa51a8fd0677bf7ae1be8fef8c52f00e1ecc2df14048985e35,1,8.890999999999622,2537,359,367,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce111_nonchoice_q01_part1_exponential_growth__ab2g__seed_2026071301,ce111_nonchoice_q01_part1_exponential_growth,IntegerOps,ab2g,PASSED,none,93f82f61b6271d56cbaf1b7bf1276afc821b055cf767d2e9a496414ee933441e,1,7.782000000000153,2084,244,244,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce111_q02_polynomial_division_remainder__ab1__seed_2026071301,ce111_q02_polynomial_division_remainder,PolynomialOps,ab1,ANSWER_INCORRECT,answer_incorrect,138e8eae8822fb96a655fd1cfb5c14873f5397fb4b5a09ed617defd5fc0e42e5,1,18.157000000000153,5672,169,793,NOT_OBSERVED,ANSWER_INCORRECT,False,False,False,VALID_MODEL_OUTCOME,valid model/runtime failure
gemini_3_5_flash__ce111_q02_polynomial_division_remainder__ab2d__seed_2026071301,ce111_q02_polynomial_division_remainder,PolynomialOps,ab2d,ANSWER_INCORRECT,answer_incorrect,99a3a4fc9111dc9857c7da22b215da1510e7ee1ecbfdf8ea383ca3a946cdc95c,1,8.313000000000102,2322,376,248,NOT_OBSERVED,ANSWER_INCORRECT,False,False,False,VALID_MODEL_OUTCOME,valid model/runtime failure
gemini_3_5_flash__ce111_q02_polynomial_division_remainder__ab2g__seed_2026071301,ce111_q02_polynomial_division_remainder,PolynomialOps,ab2g,ANSWER_INCORRECT,answer_incorrect,1cb912077ad2776904919f36b8947a00c6986c58c24c9311c1d8872dbc447e31,1,23.29700000000048,7172,235,829,NOT_OBSERVED,ANSWER_INCORRECT,False,False,False,VALID_MODEL_OUTCOME,valid model/runtime failure
gemini_3_5_flash__ce111_q03_prime_factor_selection__ab1__seed_2026071301,ce111_q03_prime_factor_selection,IntegerOps,ab1,PASSED,none,398a9ab7067574286a3f7b6a955033b2f3af8d244d34098aa907623bb706bcc4,1,6.438000000000102,1774,161,241,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce111_q03_prime_factor_selection__ab2d__seed_2026071301,ce111_q03_prime_factor_selection,IntegerOps,ab2d,PASSED,none,1970f2df97e15feb9c545ccf6c1ff5502e48da6635460a5f84d95efe532121ef,1,8.359999999999673,2587,345,318,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce111_q03_prime_factor_selection__ab2g__seed_2026071301,ce111_q03_prime_factor_selection,IntegerOps,ab2g,PASSED,none,5436b011cb2be3d0edee52770f8c5a28348f9ef4763ae485b8c6a80798ef1cbf,1,5.141000000000531,1369,227,149,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce111_q05_exact_fraction_expression__ab1__seed_2026071301,ce111_q05_exact_fraction_expression,FractionOps,ab1,PASSED,none,321d4fd2830ebc32bfbb64fefd30735af2260cffbb4d5ce695cfe030ca6e2ece,1,13.515000000000327,3788,171,314,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce111_q05_exact_fraction_expression__ab2d__seed_2026071301,ce111_q05_exact_fraction_expression,FractionOps,ab2d,PASSED,none,933a0f9cd990f872f126e62da066c26891073a13a488742023b94846b5799542,1,16.73399999999947,4835,388,598,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
gemini_3_5_flash__ce111_q05_exact_fraction_expression__ab2g__seed_2026071301,ce111_q05_exact_fraction_expression,FractionOps,ab2g,PASSED,none,9932c16c2dd3109a2f340ae98c4b0e51ef01fe9e024fbcc5f63bab49ef3ae965,1,10.82799999999952,2885,237,337,NOT_OBSERVED,PASSED,False,False,False,VALID_MODEL_OUTCOME,ok
