model,task,seed,spec_cell_id,assembly_cell_id,spec_completion,assembly_completion,spec_evaluator_status,assembly_evaluator_status,spec_pass,assembly_pass,assembly_executable,required_api_exposed,required_api_called,assembly_classification,runtime_system_defect_after_fix,assembly_raw_hash,assembly_offline_provenance,spec_output_tokens,assembly_output_tokens,spec_output_chars,assembly_output_chars,spec_wall_seconds,assembly_wall_seconds
qwen3.5:4b,ce115_calc_exact_rational_expression_l1,2026071301,qwen3_5_4b__ce115_calc_exact_rational_expression_l1__ab2d__seed_2026071301,qwen3_5_4b__ce115_calc_exact_rational_expression_l1__ab2d_assembly__seed_2026071301,NATURAL_COMPLETE,NATURAL_COMPLETE,NOT_COMPARABLE_NO_SEMANTIC_EVALUATOR_RECORD,RUNTIME_FAILURE,NOT_COMPARABLE,False,False,True,False,REQUIRED_API_NOT_CALLED,False,6cb87d1559eb083518fae321cf118ae1416a1811e7b2654b77d39bcb0df4f195,runtime_assembly_forensics.json,569,273,2146,1060,5.94,7.962863445281982
qwen3.5:4b,ce115_calc_exact_rational_expression_l1,2026071302,qwen3_5_4b__ce115_calc_exact_rational_expression_l1__ab2d__seed_2026071302,qwen3_5_4b__ce115_calc_exact_rational_expression_l1__ab2d_assembly__seed_2026071302,NATURAL_COMPLETE,NATURAL_COMPLETE,NOT_COMPARABLE_NO_SEMANTIC_EVALUATOR_RECORD,RUNTIME_FAILURE,NOT_COMPARABLE,False,False,True,True,INSUFFICIENT_EVIDENCE,False,835e6961bae54c59356b74f0e0ab8976c44503421f3ebec3bab4fbcc7ce5011c,runtime_assembly_forensics.json,2646,1214,8692,4239,25.35,34.08885359764099
qwen3.5:4b,ce115_calc_exact_rational_expression_l1,2026071303,qwen3_5_4b__ce115_calc_exact_rational_expression_l1__ab2d__seed_2026071303,qwen3_5_4b__ce115_calc_exact_rational_expression_l1__ab2d_assembly__seed_2026071303,NATURAL_COMPLETE,NATURAL_COMPLETE,NOT_COMPARABLE_NO_SEMANTIC_EVALUATOR_RECORD,RUNTIME_FAILURE,NOT_COMPARABLE,False,False,True,False,REQUIRED_API_NOT_CALLED,False,0dc1bcc15568f42293cd557caeb4d94390883bd6f9b3c2e66136ba2e6eba807d,runtime_assembly_forensics.json,690,336,2575,1190,6.87,9.647746324539185
qwen3.5:4b,ce115_calc_polynomial_division_l1,2026071301,qwen3_5_4b__ce115_calc_polynomial_division_l1__ab2d__seed_2026071301,qwen3_5_4b__ce115_calc_polynomial_division_l1__ab2d_assembly__seed_2026071301,NATURAL_COMPLETE,NATURAL_COMPLETE,NOT_COMPARABLE_NO_SEMANTIC_EVALUATOR_RECORD,RUNTIME_FAILURE,NOT_COMPARABLE,False,False,True,True,ASSEMBLY_COMPLIANT,False,d77808c4c470a894a7a3f0e0a6224ef7e6b88f2a7a907ae73e7448bd4276ab6e,runtime_assembly_forensics.json,117,915,408,3577,1.57,25.89559245109558
qwen3.5:4b,ce115_calc_polynomial_division_l1,2026071302,qwen3_5_4b__ce115_calc_polynomial_division_l1__ab2d__seed_2026071302,qwen3_5_4b__ce115_calc_polynomial_division_l1__ab2d_assembly__seed_2026071302,NATURAL_COMPLETE,NATURAL_COMPLETE,NOT_COMPARABLE_NO_SEMANTIC_EVALUATOR_RECORD,EXECUTED,NOT_COMPARABLE,False,True,True,True,ASSEMBLY_COMPLIANT,False,2b3e0a4f911f2b150eda5d421ac17dab3ac9c3cce957104220a2f1d2f7584434,runtime_assembly_forensics.json,129,411,442,1638,1.65,11.622428894042969
qwen3.5:4b,ce115_calc_polynomial_division_l1,2026071303,qwen3_5_4b__ce115_calc_polynomial_division_l1__ab2d__seed_2026071303,qwen3_5_4b__ce115_calc_polynomial_division_l1__ab2d_assembly__seed_2026071303,NATURAL_COMPLETE,NATURAL_COMPLETE,NOT_COMPARABLE_NO_SEMANTIC_EVALUATOR_RECORD,RUNTIME_FAILURE,NOT_COMPARABLE,False,False,True,True,ASSEMBLY_COMPLIANT,False,41fa5265c6d772262b77a3800546b5eb9267e15d335f28a7775f58baca552cfb,runtime_assembly_forensics.json,120,213,406,879,1.54,6.236809730529785
qwen3.5:4b,ce115_calc_radical_simplification_l1,2026071301,qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d__seed_2026071301,qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d_assembly__seed_2026071301,MODEL_DEGENERATIVE_NONTERMINATION,NATURAL_COMPLETE,NOT_COMPARABLE_NO_SEMANTIC_EVALUATOR_RECORD,RUNTIME_FAILURE,NOT_COMPARABLE,False,False,True,False,INVALID_API_CALL,False,7c7eda368fbf7624088ba9edf2d012a310532c5bd5ca41bf383d77134cb13c41,runtime_assembly_forensics.json,24576,289,88049,1095,251.22,7.754391431808472
qwen3.5:4b,ce115_calc_radical_simplification_l1,2026071302,qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d__seed_2026071302,qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d_assembly__seed_2026071302,MODEL_DEGENERATIVE_NONTERMINATION,CONFIGURATION_LIMIT_REACHED,NOT_COMPARABLE_NO_SEMANTIC_EVALUATOR_RECORD,RUNTIME_FAILURE,NOT_COMPARABLE,False,False,True,True,INSUFFICIENT_EVIDENCE,False,f6bc5e84e77ae4550d70bb4b528e4f4ea0eea76ba75d55659ce36c9839034228,runtime_assembly_forensics.json,24576,24576,93944,83443,250.08,399.28198862075806
qwen3.5:4b,ce115_calc_radical_simplification_l1,2026071303,qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d__seed_2026071303,qwen3_5_4b__ce115_calc_radical_simplification_l1__ab2d_assembly__seed_2026071303,NATURAL_COMPLETE,NATURAL_COMPLETE,NOT_COMPARABLE_NO_SEMANTIC_EVALUATOR_RECORD,RUNTIME_FAILURE,NOT_COMPARABLE,False,False,True,False,INVALID_API_CALL,False,f4a04e4eecc45a242c07e5205f06b272d08a38925509804cc7255916f8fae664,runtime_assembly_forensics.json,321,185,1224,740,3.59,5.477462530136108
qwen3.5:9b,ce115_calc_exact_rational_expression_l1,2026071301,qwen3_5_9b__ce115_calc_exact_rational_expression_l1__ab2d__seed_2026071301,qwen3_5_9b__ce115_calc_exact_rational_expression_l1__ab2d_assembly__seed_2026071301,MODEL_DEGENERATIVE_NONTERMINATION,CONFIGURATION_LIMIT_REACHED,NOT_COMPARABLE_NO_SEMANTIC_EVALUATOR_RECORD,RUNTIME_FAILURE,NOT_COMPARABLE,False,False,True,True,INSUFFICIENT_EVIDENCE,False,e5726b67411742755c1b906bd1ee3d820bd82ce81bc628d2a78660e227b515de,runtime_assembly_forensics.json,24576,24576,105980,62474,380.35,1146.658983707428
