scope_id,path,classification,amendments,role,modification,source_of_truth,sync_copies,batch,verification,was_missing_from_prior_combined_6A,notes,jury_role,e_link_batch,e_link_insertion,fig4_chain_step
S001,docs/決賽文件/實驗結果文件/20260724_Math16/01_math16_pilot02_final_report_v13.md,A,both,canonical_main_report,79→85/rescue6 + Tier1 amended stats callouts; tables/lists G→9→4; captions/refs; Primary demoted,self (canonical Final Report) + presentation_claims,NONE — plain-path v13 is G-excluded (do not sync),6,Baseline 79/Final 85; no main-table Primary; schemas G→9→4; values moved with models,no,唯一正式主報告,n/a,,,
S002,docs/experiments/reports/math16_pilot02_jury_qa_final_v1.md,B,baseline79,jury_qa_handbook_primary_working,Q5/Q7 and baseline/final wording → 79→85 framing; Correction Note cross-ref; do not force trio tables,claims from canonical; local R1–R8 retained,receives_claim_sync_from: 20260724/04_...,6,no 78/83-as-headline; 79/85/rescue6; both Jury copies claim-aligned,yes,CLOSED: 同步副本. 149 lines + §三 R1–R8. Sync ONLY claims/Correction Note link. Do NOT full-file overwrite. Retain R1–R8. Do NOT promote R1–R8 into canonical.,sync_copy_claim_only,,,
S003,docs/決賽文件/實驗結果文件/20260724_Math16/04_math16_pilot02_jury_qa_final_v1.md,B,baseline79,jury_qa_handbook_finals_package_canonical,Batch 6: full prose-preserving 79 claim edits + Correction Note; remains content master (not overwritten by sync copy),self (package canonical Jury Q&A),claim_only→ docs/experiments/reports/math16_pilot02_jury_qa_final_v1.md,6,same amended numeric claims as sync copy; 20260722 Jury untouched,yes,CLOSED: 正本. Evidence: 20260724 README 權威交付; Final Report L417 唯一正式交付入口; v13_manifest jury_qa→here. 121 lines Q1–Q20 no R1–R8. Full prose-preserving 79 edits. Do NOT full-overwrite sync copy.,canonical_content_master,,,
S004,docs/experiments/reports/math16_method1_40_120_split_results_report_v1.md,B,baseline79,method1_report,"Main tables 79→85, rescue=6; demote Primary/corrected-chain to Correction Note; Regression not measured",self + presentation_claims + Correction Note,none,6,79/85/6; no 78/84 as main headline,yes,PRIOR COMBINED OMISSION,n/a,,,
S005,docs/experiments/reports/math16_method2_all_cell_results_report_v1.md,B,baseline79,method2_report,Update Method1-side cross-ref column away from Primary 83/corrected 84 headline; point to Correction Note; keep Method2 Raw79/Final85,self + Correction Note,none,6,Method1 column no longer headlines 83/84; Method2 79/85 unchanged,yes,PRIOR COMBINED OMISSION,n/a,,,
S006,docs/experiments/reports/20260728_math16_method1_method2_progress_handoff.md,B,baseline79,progress_handoff,"Close open discrepancy: official Baseline 79→Final 85, rescue=6; cite Correction Note",self + Correction Note,none,6,no open 78-vs-79 discrepancy status,yes,PRIOR COMBINED OMISSION — decision-record List A #11,n/a,,,
S007,docs/experiments/reports/math16_pilot02_integrated_results_report_v1.md,A,both,integrated_results_live_supporting,Rewrite L114 display-order to G→9→4; reorder trio tables; apply 79/amended Tier1 numbers where live presentation cites them,self + presentation_claims,DO NOT edit archive_or_working_notes duplicate (F),6,L114=G→9→4; table schemas G→9→4; 79 where baseline cited; McNemar 2×2 structure unchanged,no,Decision-record List B (79 link-only) SUPERSEDED for combined: model-order requires live edit; apply 79 while editing. Archive copy stays F.,n/a,,,
S008,docs/experiments/visualization/math16_pilot02_core_figure_spec_v1/figure_caption_bank.md,A,both,figure_caption_bank,Captions: 79/85/rescue6; Fig3 16→17; trio captions G→9→4; Fig3/4 stay two-model,presentation_claims + self,mirror into core_figure_spec.json captions,1,no 78/83/84 headlines; G→9→4 in trio captions,no,,n/a,,,
S009,docs/experiments/visualization/math16_pilot02_core_figure_spec_v1/primary_posthoc_visual_governance.md,A,both,visual_governance,Add G→9→4 presentation-order rule; main visual headline 79→85 rescue=6,presentation_claims + self,none,1,governance forbids frozen-78 as presentation headline; order rule present,no,,n/a,,,
S010,docs/experiments/visualization/math16_pilot02_core_figure_spec_v1/one_pager_figure_selection.md,A,both,one_pager_selection_governance,Align trio wording + numeric claims,presentation_claims,none,1,G→9→4; 79/85,no,,n/a,,,
