entry_id,path,line_or_section,artifact_type,existing_model_order,target_model_order,units_to_move,values_must_move_with_model,color_remap_risk,needs_regeneration,generator_or_source,classification,modification_risk,suggested_verification,notes
MO-001,docs/決賽文件/實驗結果文件/20260724_Math16/01_math16_pilot02_final_report_v13.md,§5 測試模型 L61–63 (numbered list),markdown_list,4B → 9B → Gemini,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,整份三模型條列（1/2/3）,n/a_text_only,no,no,n/a (hand-edited canonical Final Report),A,medium — 研究角色敘事（Healer target→scale→cloud ref）會改為呈現序；需保留各條角色描述內容不丟,人工確認條列為 Gemini→9B→4B，且每條角色描述仍正確掛在同一模型,三模型並列枚舉，適用全域呈現序。Abstract L18 基線句已是 G→9→4，無需改序。
MO-002,docs/決賽文件/實驗結果文件/20260724_Math16/01_math16_pilot02_final_report_v13.md,§11 Primary／Post-hoc分帳 table L217–220 (model as rows),markdown_table_rows,4B → 9B → Gemini,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,整列：Qwen4B列、Qwen9B列、Gemini列（含全部數值欄）,yes,no,no,n/a,A,high — 禁止只改模型名；整列數值必須跟著搬。彙總欄不適用（無 Total 列）,逐格對照搬移前後：Gemini=289、9B=101、4B=78/83/84 仍綁定同一模型列,目標列序 Gemini → 9B → 4B。
MO-003,docs/決賽文件/實驗結果文件/20260724_Math16/01_math16_pilot02_final_report_v13.md,§15 Prompt條件比較 table L315–320 (model as columns),markdown_table_columns,Gemini → 4B → 9B,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,整欄：Gemini欄、4B欄、9B欄（四條件列數值同步）,yes,no,no,n/a,A,high — 欄名與數值必須整欄交換；Condition 列與註記保留,schema 前：Condition|G|4B|9B；後：Condition|G|9B|4B；抽查 Ab1: 72/18/15,現有欄序 G→4→9；目標 G→9→4。
MO-004,docs/決賽文件/實驗結果文件/20260724_Math16/01_math16_pilot02_final_report_v13.md,§9 Baseline 統計數據 L110–112,markdown_bullets,Gemini → 9B → 4B (already target),Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,none,n/a,no,no,n/a,A,low — 順序已正確；若同期套用 79 amendment 僅改 4B 數字,確認仍為 G→9→4，且與 Figure 1 標籤一致,已符合目標序；列入盤點以免漏檢。數值 78 屬另一輪 baseline-79 議題，本輪不改數。
MO-005,docs/決賽文件/實驗結果文件/20260724_Math16/04_math16_pilot02_jury_qa_final_v1.md,Q2/Q3/Q4/Q9/Q16/Q18/Q19 等配對問答（全文）,markdown_qa,mostly 4B↔9B or Gemini-alone pairwise,n/a (pairwise; do not force trio),none for trio-ordering,n/a,no,no,n/a,D,low if left alone; high if force-inserted third model,確認未把兩模型 Q&A 改成三模型表,Jury Q&A 無三模型並列主表；多為 4B/9B 或 Gemini 單獨邊界問答。
MO-006,docs/experiments/reports/math16_pilot02_jury_qa_final_v1.md,duplicate of 決賽 04_… (same Q&A body),markdown_qa,mostly pairwise,n/a,none,n/a,no,no,n/a,D,low,與 決賽 copy 保持同步策略（若未來改 A 處亦同步）,現行 Jury Q&A 雙份；無三模型欄列需重排。
MO-007,docs/experiments/reports/math16_pilot02_integrated_results_report_v1.md,L114 正文展現順序聲明 + L15/L33 三模型列舉,markdown_explicit_order_statement,Gemini → 4B → 9B (explicit),Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,語句中的順序標記 1/2/3 與並列列舉,n/a_text,no,no,n/a,A,critical — 文件自己寫死『正文展現順序為 G→4B→9B』，與老師指定序直接衝突,L114 改為 Gemini→9B→4B；搜尋『展現順序』無舊序殘留,最高優先文字命中之一。
MO-008,docs/experiments/reports/math16_pilot02_integrated_results_report_v1.md,§ baseline table L121–123 (rows),markdown_table_rows,Gemini → 4B → 9B,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,整列 Gemini/4B/9B,yes,no,no,n/a,A,high — 整列搬移；來源連結欄隨列,列序 G→9→4；289/101/78 綁定正確,
MO-009,docs/experiments/reports/math16_pilot02_integrated_results_report_v1.md,§ Condition table L156 (columns) + Family table L177 (columns),markdown_table_columns,Gemini → 4B → 9B,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,整欄 × 兩張表,yes,no,no,n/a,A,high — 雙表欄序同步,欄序 G|9B|4B；抽樣 Ab1 與 Integer family 數值,
MO-010,docs/experiments/reports/math16_pilot02_integrated_results_report_v1.md,Layer table L220 (4B|9B|Gemini columns) + Healer table L275–277 (rows G→4B→9B) + risk table L331–333,markdown_table_mixed,mixed: cols 4→9→G; rows G→4→9,Gemini 3.5 Flash → Qwen3.5 9B → Qwen3.5 4B,各表整欄或整列依模型身份,yes,no,no,n/a,A,high — 多表 schema 不同，易漏搬,每表記錄重排前後 schema；數值與模型身份交叉核對,L133–137 McNemar 2×2 屬 D，不改象限。
