task_id,family,difficulty,api_policy,expected_output_type,frozen_source_path,source_sha256,special_case_role
ce111_nonchoice_q01_part1_exponential_growth,integer,1,native-only,integer_exact_k,agent_tools/finals_rebuild/math16_pool.py,406965451600809fb0abb771073b90080eb2bc195fb4aabb8339413d42734a59,Standard Benchmark
ce111_q02_polynomial_division_remainder,polynomial,1,API-only,polynomial_division_remainder_only,agent_tools/finals_rebuild/math16_pool.py,406965451600809fb0abb771073b90080eb2bc195fb4aabb8339413d42734a59,Standard Benchmark
ce111_q03_prime_factor_selection,integer,1,native-only,integer_exact,agent_tools/finals_rebuild/math16_pool.py,406965451600809fb0abb771073b90080eb2bc195fb4aabb8339413d42734a59,Standard Benchmark
ce111_q05_exact_fraction_expression,fraction,1,API-only,exact_fraction_canonical,agent_tools/finals_rebuild/math16_pool.py,406965451600809fb0abb771073b90080eb2bc195fb4aabb8339413d42734a59,Standard Benchmark
ce111_q08_polynomial_factor_parameter_recovery,polynomial,1,native-only,polynomial_factor_parameter_recovery,agent_tools/finals_rebuild/math16_pool.py,406965451600809fb0abb771073b90080eb2bc195fb4aabb8339413d42734a59,Forced Ambiguity
ce111_q10_ordered_quadratic_roots_radical,radical,1,mixed,compound_radical_result,agent_tools/finals_rebuild/math16_pool.py,406965451600809fb0abb771073b90080eb2bc195fb4aabb8339413d42734a59,Standard Benchmark
ce112_q01_negative_integer_power,integer,1,native-only,integer_exact,agent_tools/finals_rebuild/math16_pool.py,406965451600809fb0abb771073b90080eb2bc195fb4aabb8339413d42734a59,Standard Benchmark
ce112_q04_radical_simplification,radical,1,API-only,radical_simplification_canonical,agent_tools/finals_rebuild/math16_pool.py,406965451600809fb0abb771073b90080eb2bc195fb4aabb8339413d42734a59,Six-Cell Rescued
ce112_q09_divisor_multiple_intersection,integer,1,native-only,integer_count,agent_tools/finals_rebuild/math16_pool.py,406965451600809fb0abb771073b90080eb2bc195fb4aabb8339413d42734a59,Standard Benchmark
ce112_q12_independent_probability_fraction,fraction,1,API-only,exact_fraction_canonical,agent_tools/finals_rebuild/math16_pool.py,406965451600809fb0abb771073b90080eb2bc195fb4aabb8339413d42734a59,Standard Benchmark
ce113_q01_negative_fraction_subtraction,fraction,1,API-only,exact_fraction_canonical,agent_tools/finals_rebuild/math16_pool.py,406965451600809fb0abb771073b90080eb2bc195fb4aabb8339413d42734a59,Six-Cell Rescued
ce113_q11_rationalize_denominator,radical,1,native-only,integer_exact,agent_tools/finals_rebuild/math16_pool.py,406965451600809fb0abb771073b90080eb2bc195fb4aabb8339413d42734a59,Six-Cell Rescued
ce115_calc_exact_rational_expression_l1,fraction,1,API-only,math16_exact_rational_expression,agent_tools/finals_rebuild/math16_pool.py,406965451600809fb0abb771073b90080eb2bc195fb4aabb8339413d42734a59,Six-Cell Rescued
ce115_calc_polynomial_division_l1,polynomial,1,API-only,math16_polynomial_division_general,agent_tools/finals_rebuild/math16_pool.py,406965451600809fb0abb771073b90080eb2bc195fb4aabb8339413d42734a59,Standard Benchmark
ce115_calc_polynomial_factor_roots_l1,polynomial,1,native-only,math16_polynomial_factor_roots,agent_tools/finals_rebuild/math16_pool.py,406965451600809fb0abb771073b90080eb2bc195fb4aabb8339413d42734a59,Standard Benchmark
ce115_calc_radical_simplification_l1,radical,1,API-only,math16_radical_simplification,agent_tools/finals_rebuild/math16_pool.py,406965451600809fb0abb771073b90080eb2bc195fb4aabb8339413d42734a59,Six-Cell Rescued
