cell_id,task_id,condition,domain_ops,source,final_evaluator_status,historical_original_status,evaluation_revision_002_status,post_hoc_supplemental_rerun,validity,validity_note
gemini_3_5_flash__ce111_nonchoice_q01_part1_exponential_growth__ab1__seed_2026071301,ce111_nonchoice_q01_part1_exponential_growth,ab1,IntegerOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce111_nonchoice_q01_part1_exponential_growth__ab2d__seed_2026071301,ce111_nonchoice_q01_part1_exponential_growth,ab2d,IntegerOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce111_nonchoice_q01_part1_exponential_growth__ab2g__seed_2026071301,ce111_nonchoice_q01_part1_exponential_growth,ab2g,IntegerOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce111_q02_polynomial_division_remainder__ab1__seed_2026071301,ce111_q02_polynomial_division_remainder,ab1,PolynomialOps,original_run_evaluation_revision_002,ANSWER_INCORRECT,ANSWER_INCORRECT,ANSWER_INCORRECT,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce111_q02_polynomial_division_remainder__ab2d__seed_2026071301,ce111_q02_polynomial_division_remainder,ab2d,PolynomialOps,original_run_evaluation_revision_002,ANSWER_INCORRECT,ANSWER_INCORRECT,ANSWER_INCORRECT,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce111_q02_polynomial_division_remainder__ab2g__seed_2026071301,ce111_q02_polynomial_division_remainder,ab2g,PolynomialOps,original_run_evaluation_revision_002,ANSWER_INCORRECT,ANSWER_INCORRECT,ANSWER_INCORRECT,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce111_q03_prime_factor_selection__ab1__seed_2026071301,ce111_q03_prime_factor_selection,ab1,IntegerOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce111_q03_prime_factor_selection__ab2d__seed_2026071301,ce111_q03_prime_factor_selection,ab2d,IntegerOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce111_q03_prime_factor_selection__ab2g__seed_2026071301,ce111_q03_prime_factor_selection,ab2g,IntegerOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce111_q05_exact_fraction_expression__ab1__seed_2026071301,ce111_q05_exact_fraction_expression,ab1,FractionOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce111_q05_exact_fraction_expression__ab2d__seed_2026071301,ce111_q05_exact_fraction_expression,ab2d,FractionOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce111_q05_exact_fraction_expression__ab2g__seed_2026071301,ce111_q05_exact_fraction_expression,ab2g,FractionOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce111_q08_polynomial_factor_parameter_recovery__ab1__seed_2026071301,ce111_q08_polynomial_factor_parameter_recovery,ab1,PolynomialOps,original_run_evaluation_revision_002,INTRINSIC_SAFETY,INTRINSIC_SAFETY,INTRINSIC_SAFETY,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce111_q08_polynomial_factor_parameter_recovery__ab2d__seed_2026071301,ce111_q08_polynomial_factor_parameter_recovery,ab2d,PolynomialOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce111_q08_polynomial_factor_parameter_recovery__ab2g__seed_2026071301,ce111_q08_polynomial_factor_parameter_recovery,ab2g,PolynomialOps,original_run_evaluation_revision_002,INTRINSIC_SAFETY,INTRINSIC_SAFETY,INTRINSIC_SAFETY,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce111_q10_ordered_quadratic_roots_radical__ab1__seed_2026071301,ce111_q10_ordered_quadratic_roots_radical,ab1,RadicalOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce111_q10_ab2d__seed_2026071301__fix_r1,ce111_q10_ordered_quadratic_roots_radical,ab2d,RadicalOps,supplemental_rerun,INTRINSIC_SAFETY,EXECUTION_FAILURE,EXECUTION_FAILURE,True,VALID_MODEL_OUTCOME,contract Fraction boundary fixed; supplemental live first-attempt failed latex exact match (structural OK). Original INVALID_CONTRACT cell preserved in audit trail.
gemini_3_5_flash__ce111_q10_ordered_quadratic_roots_radical__ab2g__seed_2026071301,ce111_q10_ordered_quadratic_roots_radical,ab2g,RadicalOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce112_q01_negative_integer_power__ab1__seed_2026071301,ce112_q01_negative_integer_power,ab1,IntegerOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce112_q01_negative_integer_power__ab2d__seed_2026071301,ce112_q01_negative_integer_power,ab2d,IntegerOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce112_q01_negative_integer_power__ab2g__seed_2026071301,ce112_q01_negative_integer_power,ab2g,IntegerOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce112_q04_radical_simplification__ab1__seed_2026071301,ce112_q04_radical_simplification,ab1,RadicalOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce112_q04_radical_simplification__ab2d__seed_2026071301,ce112_q04_radical_simplification,ab2d,RadicalOps,original_run_evaluation_revision_002,INTRINSIC_SAFETY,INTRINSIC_SAFETY,INTRINSIC_SAFETY,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce112_q04_radical_simplification__ab2g__seed_2026071301,ce112_q04_radical_simplification,ab2g,RadicalOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce112_q09_divisor_multiple_intersection__ab1__seed_2026071301,ce112_q09_divisor_multiple_intersection,ab1,IntegerOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce112_q09_divisor_multiple_intersection__ab2d__seed_2026071301,ce112_q09_divisor_multiple_intersection,ab2d,IntegerOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce112_q09_divisor_multiple_intersection__ab2g__seed_2026071301,ce112_q09_divisor_multiple_intersection,ab2g,IntegerOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce112_q12_independent_probability_fraction__ab1__seed_2026071301,ce112_q12_independent_probability_fraction,ab1,FractionOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce112_q12_independent_probability_fraction__ab2d__seed_2026071301,ce112_q12_independent_probability_fraction,ab2d,FractionOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce112_q12_independent_probability_fraction__ab2g__seed_2026071301,ce112_q12_independent_probability_fraction,ab2g,FractionOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce113_q01_negative_fraction_subtraction__ab1__seed_2026071301,ce113_q01_negative_fraction_subtraction,ab1,FractionOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce113_q01_negative_fraction_subtraction__ab2d__seed_2026071301,ce113_q01_negative_fraction_subtraction,ab2d,FractionOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce113_q01_negative_fraction_subtraction__ab2g__seed_2026071301,ce113_q01_negative_fraction_subtraction,ab2g,FractionOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce113_q11_rationalize_denominator__ab1__seed_2026071301,ce113_q11_rationalize_denominator,ab1,RadicalOps,original_run_evaluation_revision_002,PARSE_MINOR,PARSE_MINOR,PARSE_MINOR,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce113_q11_rationalize_denominator__ab2d__seed_2026071301,ce113_q11_rationalize_denominator,ab2d,RadicalOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce113_q11_rationalize_denominator__ab2g__seed_2026071301,ce113_q11_rationalize_denominator,ab2g,RadicalOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce115_calc_exact_rational_expression_l1__ab1__seed_2026071301,ce115_calc_exact_rational_expression_l1,ab1,FractionOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce115_calc_exact_rational_expression_l1__ab2d__seed_2026071301,ce115_calc_exact_rational_expression_l1,ab2d,FractionOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce115_calc_exact_rational_expression_l1__ab2g__seed_2026071301,ce115_calc_exact_rational_expression_l1,ab2g,FractionOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce115_calc_polynomial_division_l1__ab1__seed_2026071301,ce115_calc_polynomial_division_l1,ab1,PolynomialOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce115_calc_polynomial_division_l1__ab2d__seed_2026071301,ce115_calc_polynomial_division_l1,ab2d,PolynomialOps,original_run_evaluation_revision_002,PASSED,INTRINSIC_SAFETY,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce115_calc_polynomial_division_l1__ab2g__seed_2026071301,ce115_calc_polynomial_division_l1,ab2g,PolynomialOps,original_run_evaluation_revision_002,PASSED,PASSED,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
gemini_3_5_flash__ce115_calc_polynomial_factor_roots_l1__ab1__seed_2026071301,ce115_calc_polynomial_factor_roots_l1,ab1,PolynomialOps,original_run_evaluation_revision_002,PASSED,INTRINSIC_SAFETY,PASSED,False,VALID_MODEL_OUTCOME,from evaluation_revision_002
