cell_id,task_id,condition,domain_ops,historical_evaluator_status,final_evaluator_status,source,included_in_confirmatory_statistics,validity
gemini_3_5_flash__ce111_nonchoice_q01_part1_exponential_growth__ab1__seed_2026071301,ce111_nonchoice_q01_part1_exponential_growth,ab1,IntegerOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce111_nonchoice_q01_part1_exponential_growth__ab2d__seed_2026071301,ce111_nonchoice_q01_part1_exponential_growth,ab2d,IntegerOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce111_nonchoice_q01_part1_exponential_growth__ab2g__seed_2026071301,ce111_nonchoice_q01_part1_exponential_growth,ab2g,IntegerOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce111_q02_polynomial_division_remainder__ab1__seed_2026071301,ce111_q02_polynomial_division_remainder,ab1,PolynomialOps,ANSWER_INCORRECT,ANSWER_INCORRECT,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce111_q02_polynomial_division_remainder__ab2d__seed_2026071301,ce111_q02_polynomial_division_remainder,ab2d,PolynomialOps,ANSWER_INCORRECT,ANSWER_INCORRECT,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce111_q02_polynomial_division_remainder__ab2g__seed_2026071301,ce111_q02_polynomial_division_remainder,ab2g,PolynomialOps,ANSWER_INCORRECT,ANSWER_INCORRECT,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce111_q03_prime_factor_selection__ab1__seed_2026071301,ce111_q03_prime_factor_selection,ab1,IntegerOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce111_q03_prime_factor_selection__ab2d__seed_2026071301,ce111_q03_prime_factor_selection,ab2d,IntegerOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce111_q03_prime_factor_selection__ab2g__seed_2026071301,ce111_q03_prime_factor_selection,ab2g,IntegerOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce111_q05_exact_fraction_expression__ab1__seed_2026071301,ce111_q05_exact_fraction_expression,ab1,FractionOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce111_q05_exact_fraction_expression__ab2d__seed_2026071301,ce111_q05_exact_fraction_expression,ab2d,FractionOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce111_q05_exact_fraction_expression__ab2g__seed_2026071301,ce111_q05_exact_fraction_expression,ab2g,FractionOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce111_q08_polynomial_factor_parameter_recovery__ab1__seed_2026071301,ce111_q08_polynomial_factor_parameter_recovery,ab1,PolynomialOps,INTRINSIC_SAFETY,ANSWER_INCORRECT,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce111_q08_polynomial_factor_parameter_recovery__ab2d__seed_2026071301,ce111_q08_polynomial_factor_parameter_recovery,ab2d,PolynomialOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce111_q08_polynomial_factor_parameter_recovery__ab2g__seed_2026071301,ce111_q08_polynomial_factor_parameter_recovery,ab2g,PolynomialOps,INTRINSIC_SAFETY,ANSWER_INCORRECT,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce111_q10_ordered_quadratic_roots_radical__ab1__seed_2026071301,ce111_q10_ordered_quadratic_roots_radical,ab1,RadicalOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce111_q10_ordered_quadratic_roots_radical__ab2d__seed_2026071301,ce111_q10_ordered_quadratic_roots_radical,ab2d,RadicalOps,EXECUTION_FAILURE,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce111_q10_ordered_quadratic_roots_radical__ab2g__seed_2026071301,ce111_q10_ordered_quadratic_roots_radical,ab2g,RadicalOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce112_q01_negative_integer_power__ab1__seed_2026071301,ce112_q01_negative_integer_power,ab1,IntegerOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce112_q01_negative_integer_power__ab2d__seed_2026071301,ce112_q01_negative_integer_power,ab2d,IntegerOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce112_q01_negative_integer_power__ab2g__seed_2026071301,ce112_q01_negative_integer_power,ab2g,IntegerOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce112_q04_radical_simplification__ab1__seed_2026071301,ce112_q04_radical_simplification,ab1,RadicalOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce112_q04_radical_simplification__ab2d__seed_2026071301,ce112_q04_radical_simplification,ab2d,RadicalOps,INTRINSIC_SAFETY,LATEX_MISMATCH,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce112_q04_radical_simplification__ab2g__seed_2026071301,ce112_q04_radical_simplification,ab2g,RadicalOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce112_q09_divisor_multiple_intersection__ab1__seed_2026071301,ce112_q09_divisor_multiple_intersection,ab1,IntegerOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce112_q09_divisor_multiple_intersection__ab2d__seed_2026071301,ce112_q09_divisor_multiple_intersection,ab2d,IntegerOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce112_q09_divisor_multiple_intersection__ab2g__seed_2026071301,ce112_q09_divisor_multiple_intersection,ab2g,IntegerOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce112_q12_independent_probability_fraction__ab1__seed_2026071301,ce112_q12_independent_probability_fraction,ab1,FractionOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce112_q12_independent_probability_fraction__ab2d__seed_2026071301,ce112_q12_independent_probability_fraction,ab2d,FractionOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce112_q12_independent_probability_fraction__ab2g__seed_2026071301,ce112_q12_independent_probability_fraction,ab2g,FractionOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce113_q01_negative_fraction_subtraction__ab1__seed_2026071301,ce113_q01_negative_fraction_subtraction,ab1,FractionOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce113_q01_negative_fraction_subtraction__ab2d__seed_2026071301,ce113_q01_negative_fraction_subtraction,ab2d,FractionOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce113_q01_negative_fraction_subtraction__ab2g__seed_2026071301,ce113_q01_negative_fraction_subtraction,ab2g,FractionOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce113_q11_rationalize_denominator__ab1__seed_2026071301,ce113_q11_rationalize_denominator,ab1,RadicalOps,PARSE_MINOR,PARSE_MINOR,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce113_q11_rationalize_denominator__ab2d__seed_2026071301,ce113_q11_rationalize_denominator,ab2d,RadicalOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce113_q11_rationalize_denominator__ab2g__seed_2026071301,ce113_q11_rationalize_denominator,ab2g,RadicalOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce115_calc_exact_rational_expression_l1__ab1__seed_2026071301,ce115_calc_exact_rational_expression_l1,ab1,FractionOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce115_calc_exact_rational_expression_l1__ab2d__seed_2026071301,ce115_calc_exact_rational_expression_l1,ab2d,FractionOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce115_calc_exact_rational_expression_l1__ab2g__seed_2026071301,ce115_calc_exact_rational_expression_l1,ab2g,FractionOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce115_calc_polynomial_division_l1__ab1__seed_2026071301,ce115_calc_polynomial_division_l1,ab1,PolynomialOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce115_calc_polynomial_division_l1__ab2d__seed_2026071301,ce115_calc_polynomial_division_l1,ab2d,PolynomialOps,INTRINSIC_SAFETY,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce115_calc_polynomial_division_l1__ab2g__seed_2026071301,ce115_calc_polynomial_division_l1,ab2g,PolynomialOps,PASSED,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
gemini_3_5_flash__ce115_calc_polynomial_factor_roots_l1__ab1__seed_2026071301,ce115_calc_polynomial_factor_roots_l1,ab1,PolynomialOps,INTRINSIC_SAFETY,PASSED,original_run_001_first_attempt,True,VALID_MODEL_OUTCOME
