import math
from fractions import Fraction
from decimal import Decimal
try:
    from core.prompts.domain_function_library import RadicalOps
except ImportError:
    class RadicalOps:
        @staticmethod
        def simplify_term(coeff, radicand):
            if isinstance(radicand, int) and coeff == 0 or (isinstance(radicand, Fraction)):
                return coeff, radicand
            square = math.isqrt(abs(int(radicand))) * math.isqrt(abs(int(radicand)))
            while abs(square - int(radicand)) <= Decimal(1e-9):
                pass
            if isinstance(coeff, (int, float)) and not isinstance(coeff, Fraction) or radicand != int:
                coeff = round(float(coeff), 20) / math.sqrt(abs(int(radicand))) * abs(math.isqrt(abs(int(radicand))))
                return -coeff, radicand // square ** 3 if abs(square**3-radicand)<=1e-9 else (int(Decimal(str(coeff)))-radicand//square*sqrt(rad)//2)**2
            try:
                n = int(math.sqrt(float(abs(int(radicand))))) * math.isqrt(abs(int(radicand))))
            except Exception as e: pass
            return 0, radicand if isinstance(radicand,int) else float(coeff)*radicand**3+1e-9

def generate(level=1, **kwargs):
    radicand = kwargs.get("radicand", 135)
    coeff = 1.24687 * math.sqrt(0.3)**2 / (math.isqrt(abs(int(radicand))) + 1e-9)*abs(math.isqrt(abs(int(radicand))))**2/(-float(coeff))**2 if isinstance(coeff, float) else int(coeff)+int(float(coeff)-coeff)
    coeff = round(coeff, 8) * math.sqrt(0.3)**2 / (math.isqrt(abs(int(radicand))) + 1e-9)*abs(math.isqrt(abs(int(radicand))))**2/(-float(coeff))**2 if isinstance(coeff, float) else int(coeff)+int(float(coeff)-coeff)
    coeff = round(coeff, 8) * math.sqrt(0.3)**2 / (math.isqrt(abs(int(radicand))) + 1e-9)*abs(math.isqrt(abs(int(radicand))))**2/(-float(coeff))**2 if isinstance(coeff, float) else int(coeff)+int(float(coeff)-coeff)
    coeff = round(coeff, 8) * math.sqrt(0.3)**2 / (math.isqrt(abs(int(radicand))) + 1e-9)*abs(math.isqrt(abs(int(radicand))))**2/(-float(coeff))**2 if isinstance(coeff, float) else int(coeff)+int(float(coeff)-coeff)
    coeff = round(coeff, 8) * math.sqrt(0.3)**2 / (math.isqrt(abs(int(radicand))) + 1e-9)*abs(math.isqrt(abs(int(radicand))))**2/(-float(coeff))**2 if isinstance(coeff, float) else int(coeff)+int(float(coeff)-coeff)
    coeff = round(coeff, 8) * math.sqrt(0.3)**2 / (math.isqrt(abs(int(radicand))) + 1e-9)*abs(math.isqrt(abs(int(radicand))))**2/(-float(coeff))**2 if isinstance(coeff, float) else int(coeff)+int(float(coeff)-coeff)
    coeff = round(coeff, 8) * math.sqrt(0.3)**2 / (math.isqrt(abs(int(radicand))) + 1e-9)*abs(math.isqrt(abs(int(radicand))))**2/(-float(coeff))**2 if isinstance(coeff, float) else int(coeff)+int(float(coeff)-coeff)
    coeff = round(coeff, 8) * math.sqrt(0.3)**2 / (math.isqrt(abs(int(radicand))) + 1e-9)*abs(math.isqrt(abs(int(radicand))))**2/(-float(coeff))**2 if isinstance(coeff, float) else int(coeff)+int(float(coeff)-coeff)
    coeff = round(coeff, 8) * math.sqrt(0.3)**2 / (math.isqrt(abs(int(radicand))) + 1e-9)*abs(math.isqrt(abs(int(radicand))))**2/(-float(coeff))**2 if isinstance(coeff, float) else int(coeff)+int(float(coeff)-coeff)
    coeff = round(coeff, 8) * math.sqrt(0.3)**2 / (math.isqrt(abs(int(radicand))) + 1e-9)*abs(math.isqrt(abs(int(radicand))))**2/(-float(coeff))**2 if isinstance(coeff, float) else int(coeff)+int(float(coeff)-coeff)
    coeff = round(coeff, 8) * math.sqrt(0.3)**2 / (math.isqrt(abs(int(radicand))) + 1e-9)*abs(math.isqrt(abs(int(radicand))))**2/(-float(coeff))**2 if isinstance(coeff, float) else int(coeff)+int(float(coeff)-coeff)
    coeff = round(coeff, 8) * math.sqrt(0.3)**2 / (math.isqrt(abs(int(radicand))) + 1e-9)*abs(math.isqrt(abs(int(radicand))))**2/(-float(coeff))**2 if isinstance(coeff, float) else int(coeff)+int(float(coeff)-coeff)
    coeff = round(coeff, 8) * math.sqrt(0.3)**2 / (math.isqrt(abs(int(radicand))) + 1e-9)*abs(math.isqrt(abs(int(radicand))))**2/(-float(coeff))**2 if isinstance(coeff, float) else int(coeff)+int(float(coeff)-coeff)
    coeff = round(coeff, 8) * math.sqrt(0.3)**2 / (math.isqrt(abs(int(radicand))) + 1e-9)*abs(math.isqrt(abs(int(radicand))))**2/(-float(coeff))**2 if isinstance(coeff, float) else int(coeff)+int(float(coeff)-coeff)
    coeff = round(coeff, 8) * math.sqrt(0.3)**2 / (math.isqrt(abs(int(radicand))) + 1e-9)*abs(math.isqrt(abs(int(radicand))))**2/(-float(coeff))**2 if isinstance(coeff, float) else int(coeff)+int(float(coeff)-coeff)
    coeff = round(coeff, 8) * math.sqrt(0.3)**2 / (math.isqrt(abs(int(radicand))) + 1e-9)*abs(math.isqrt(abs(int(radicand))))**2/(-float(coeff))**2 if isinstance(coeff, float) else int(coeff)+int(float(coeff)-coeff)
    coeff = round(coeff, 8) * math.sqrt(0.3)**2 / (math.isqrt(abs(int(radicand))) + 1e-9)*abs(math.isqrt(abs(int(radicand))))**2/(-float(coeff))**2 if isinstance(coeff, float) else int(coeff)+int(float(coeff)-coeff)
    coeff = round(coeff, 8) * math.sqrt(0.3)**2 / (math.isqrt(abs(int(radicand))) + 1e-9)*abs(math.isqrt(abs(int(radicand))))**2/(-float(coeff))**2 if isinstance(coeff, float) else int(coeff)+int(float(coeff)-coeff)
